tag_url	url_dcrpny_cat
http://abovethelaw.com	C
http://abpananda.abplive.in	D
http://abpnews.abplive.in	C
http://actionmovieaddict.com	E
http://addictinginfo.org	E
http://allenbwest.com	B
http://allthatsnews.com	A
http://americanlivewire.com	E
http://animefreak.tv	C
http://animejoy.tv	A
http://ausom.com	D
http://banglamail24.com	A
http://bato.to	B
http://beforeitsnews.com	C
http://bikerumor.com	E
http://blacksportsonline.com	A
http://boredbug.com	D
http://br.blastingnews.com	E
http://buenastareas.com	E
http://buzzcontrol.com	E
http://buzzit.club	B
http://buzzlamp.com	E
http://caliser.com	E
http://celebmafia.com	A
http://charmpuff.com	E
http://cheatsheet.com	E
http://cheesyvibes.com	D
http://cheezburger.com	A
http://chicksontheright.com	A
http://compatible2.com	A
http://crazydaysandnights.net	A
http://cssdeck.com	B
http://cssnewbie.com	A
http://cyber-breeze.com	C
http://digigold.info	B
http://dinnercooking.com	C
http://diply.com	C
http://donews.ca	A
http://earthporm.com	B
http://elements4health.com	E
http://eliteprospects.com	C
http://expandedconsciousness.com	A
http://faltucity.com	E
http://family-magazine.com	E
http://fansshare.com	D
http://filmshout.com	E
http://flickonflick.net	E
http://foodcurious.com	A
http://forwardprogressives.com	D
http://fratsense.com	B
http://freeroms.com	D
http://freetvlookup.com	E
http://funnymama.com	B
http://game-oldies.com	E
http://girlsaskguys.com	D
http://gleems.com	D
http://goodmenproject.com	D
http://gtplanet.net	E
http://hao123.com	E
http://headlinesbay.com	D
http://hiddenplaybook.com	D
http://historyinorbit.com	C
http://hitc.com	B
http://howtotravel.info	A
http://hypefeeds.com	A
http://idistracted.net	C
http://indymusic.tv	D
http://inquisitr.com	B
http://jellyshare.com	A
http://kissanime.com	A
http://kisscartoon.me	A
http://kleiderkreisel.de	C
http://lazyslack.com	B
http://lifehack.org	B
http://ma3comic.com	B
http://mail.lycos.com	E
http://mamikreisel.de	C
http://mangachapter.me	B
http://mangadoom.co	D
http://mangafox.me	E
http://mangago.me	A
http://mangahere.co	D
http://mangainn.me	B
http://mangamint.com	C
http://mangapanda.com	A
http://mangareader.net	D
http://mangarussia.com	C
http://mangatown.com	D
http://momvideos.tv	E
http://movieinsider.com	D
http://moviescrown.com	E
http://mugshots.com	C
http://myonlinearcade.com	A
http://mzamin.com	A
http://newgrounds.com	C
http://news.nster.com	C
http://noticiasautomotivas.com.br	C
http://nwanime.com	A
http://occupydemocrats.com	C
http://openstudy.com	C
http://opposingviews.com	C
http://pocket-lint.com	B
http://practicallyviral.com	B
http://prntscr.com	D
http://projectevemoms.com	B
http://projectevemoney.com	C
http://radioloyalty.com	A
http://randaris-anime.net	D
http://ranker.com	E
http://recipechart.com	A
http://redorbit.com	E
http://resharable.org	B
http://ripbird.com	B
http://rlfans.com	A
http://sensacionalista.uol.com.br	E
http://serialreviews.tv	A
http://singletrackworld.com	D
http://smbc-comics.com	C
http://sohh.com	D
http://somoyerkonthosor.com	B
http://spikey.com	D
http://stayinghealthy247.com	B
http://steephill.tv	C
http://taadd.com	D
http://tellypromos.com	B
http://thebolde.com	E
http://thesimsresource.com	A
http://thewebtrovert.com	B
http://timetobreak.com	C
http://tvtropes.org	E
http://tweettunnel.com	C
http://twentytwowords.com	D
http://unwindly.com	B
http://usedvictoria.com	D
http://viewmixed.com	B
http://vinted.fr	D
http://viraldips.com	E
http://viralscape.com	E
http://viralsmash.org	B
http://viralvinny.com	B
http://viralworld.net	C
http://watchcartoons.me	C
http://webmaila.juno.com	D
http://webmailb.netzero.net	B
http://whatculture.com	C
http://wiemanga.com	D
http://wikischools.ca	A
http://winamp.com	C
http://wizzed.com	D
http://wordables.com	A
http://worldstarhiphop.com	B
http://www.24hourcampfire.com	B
http://www.chictraveler.com	E
http://www.freeforums.org	A
http://www.lipsum.com	B
http://www.snopes.com	C
http://www.yuku.com	A
http://yardbarker.com	C
http://yasni.com	D
http://yourepeat.com	D
